Value,Avg3,Stdev3,Minimum3,Maximum3,Fluctuation3,Avg5,Stdev5,Minimum5,Maximum5,Fluctuation5,Avg7,Stdev7,Minimum7,Maximum7,Fluctuation7,Hour,Minute,Second,Microsecond,
12.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,48,33,520994,
11.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,48,33,622164,
11.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,48,33,722767,
11.7,11.666666666666666,0.7234178138070235,11.2,12.5,1.3000000000000007,-,-,-,-,-,-,-,-,-,-,7,48,33,823252,
11.1,11.4,0.2645751311064588,11.2,11.7,0.5,-,-,-,-,-,-,-,-,-,-,7,48,33,923965,
11.1,11.366666666666667,0.305505046330389,11.1,11.7,0.5999999999999996,11.56,0.5727128425310541,11.1,12.5,1.4000000000000004,-,-,-,-,-,7,48,34,24591,
11.5,11.299999999999999,0.34641016151377524,11.1,11.7,0.5999999999999996,11.28,0.24899799195977454,11.1,11.7,0.5999999999999996,-,-,-,-,-,7,48,34,125257,
12.0,11.233333333333333,0.23094010767585052,11.1,11.5,0.40000000000000036,11.34,0.26076809620810587,11.1,11.7,0.5999999999999996,11.485714285714286,0.4980915960897535,11.1,12.5,1.4000000000000004,7,48,34,226037,
11.5,11.533333333333333,0.4509249752822896,11.1,12.0,0.9000000000000004,11.48,0.3898717737923586,11.1,12.0,0.9000000000000004,11.414285714285715,0.33876526498728404,11.1,12.0,0.9000000000000004,7,48,34,326727,
11.4,11.666666666666666,0.28867513459481287,11.5,12.0,0.5,11.44,0.3714835124201344,11.1,12.0,0.9000000000000004,11.457142857142857,0.325868802112869,11.1,12.0,0.9000000000000004,7,48,34,427272,
12.0,11.633333333333333,0.3214550253664317,11.4,12.0,0.5999999999999996,11.5,0.3240370349203931,11.1,12.0,0.9000000000000004,11.471428571428572,0.31997023671109226,11.1,12.0,0.9000000000000004,7,48,34,527970,
11.1,11.633333333333333,0.3214550253664317,11.4,12.0,0.5999999999999996,11.68,0.29495762407505244,11.4,12.0,0.5999999999999996,11.514285714285714,0.3716116764786034,11.1,12.0,0.9000000000000004,7,48,34,628777,
12.9,11.5,0.4582575694955841,11.1,12.0,0.9000000000000004,11.6,0.3937003937005906,11.1,12.0,0.9000000000000004,11.514285714285714,0.3716116764786034,11.1,12.0,0.9000000000000004,7,48,34,729543,
12.3,12.0,0.9000000000000004,11.1,12.9,1.8000000000000007,11.78,0.7049822692805828,11.1,12.9,1.8000000000000007,11.771428571428572,0.5936168397046638,11.1,12.9,1.8000000000000007,7,48,34,830244,
11.0,12.1,0.9165151389911684,11.1,12.9,1.8000000000000007,11.94,0.7162401831787996,11.1,12.9,1.8000000000000007,11.885714285714286,0.6094494002200442,11.1,12.9,1.8000000000000007,7,48,34,930950,
12.3,12.066666666666666,0.9712534856222312,11.0,12.9,1.9000000000000004,11.86,0.8080841540334772,11.0,12.9,1.9000000000000004,11.742857142857144,0.6900655593423545,11.0,12.9,1.9000000000000004,7,48,35,31613,
12.8,11.866666666666667,0.7505553499465139,11.0,12.3,1.3000000000000007,11.92,0.8318653737234172,11.0,12.9,1.9000000000000004,11.857142857142858,0.7091242083423349,11.0,12.9,1.9000000000000004,7,48,35,132261,
12.1,12.033333333333333,0.9291573243177573,11.0,12.8,1.8000000000000007,12.26,0.7569676347110228,11.0,12.9,1.9000000000000004,12.057142857142857,0.754668012786954,11.0,12.9,1.9000000000000004,7,48,35,232957,
11.4,12.4,0.36055512754639935,12.1,12.8,0.7000000000000011,12.1,0.667083203206317,11.0,12.8,1.8000000000000007,12.071428571428571,0.7543524501502064,11.0,12.9,1.9000000000000004,7,48,35,333669,
11.2,12.1,0.7000000000000002,11.4,12.8,1.4000000000000004,11.92,0.7190271204899022,11.0,12.8,1.8000000000000007,12.114285714285714,0.6962484504556581,11.0,12.9,1.9000000000000004,7,48,35,434287,
11.5,11.566666666666666,0.47258156262526085,11.2,12.1,0.9000000000000004,11.96,0.6580273550544845,11.2,12.8,1.6000000000000014,11.871428571428572,0.6725927091345496,11.0,12.8,1.8000000000000007,7,48,35,534978,
12.9,11.366666666666667,0.15275252316519508,11.2,11.5,0.3000000000000007,11.8,0.6519202405202652,11.2,12.8,1.6000000000000014,11.757142857142858,0.655380660016612,11.0,12.8,1.8000000000000007,7,48,35,635580,
